bundle,pearson arousal,pearson valence,ccc arousal,ccc valence
P16,-0.10347643095963001,-0.05189098882598781,-0.09889653966604603,-0.016534633254400778
P17,0.11329024429991096,-0.13985138562670335,0.09422692735483112,-0.09997718177112812
P19,0.021090870948149543,-0.05181941909549453,0.013415662912258161,-0.01489755017126596
P21,-0.14694064398546083,-0.019734625584507705,-0.12404345712844521,-0.004824979317614859
P23,-0.11577352704114748,-0.07244769976888474,-0.09062571244534025,-0.02073273660010229
P25,0.05839865343271783,-0.1276689362857655,0.042197098952950554,-0.02093587303141687
P26,0.013893560129944398,0.09836521301506017,0.011002237113941169,0.021188373952306425
P28,-0.058991772780208826,-0.022227066512889467,-0.04491596916568878,-0.006995998451288113
P30,0.13184645870057193,-0.016739431061952442,0.1219062623958254,-0.007892115948742144
P34,-0.12799037292448467,-0.00943801513332349,-0.08477267694641849,-0.00939886433685842
P37,0.025998641702853296,-0.00374638699851626,0.021688430859343997,-0.00108009862714592
P39,-0.06729173228134991,-0.0041856376815578794,-0.059720816913141545,-0.0013879998583104618
P41,-0.0675848864396781,-0.007714047443856814,-0.02803219343732487,-0.0016350202475757631
P42,0.0879246242055356,0.026881698177264064,0.0856788260047776,0.008943248917045427
P43,-0.010275137598008638,-0.03473423066063484,-0.009730153714653503,-0.0080853938857459
P45,-0.10596410031091018,-0.021365479046165668,-0.09282818021857658,-0.00557571820561308
P46,0.010317689985260078,0.03593795257334687,0.008799536833382974,0.012126536844777495
P48,0.04374508764035968,-0.040757671491291406,0.04211438208973393,-0.015275947443072922
P56,0.005303100393768488,-0.0453645917875533,0.003722516641078334,-0.01016150267809657
P58,0.05463254024485203,-0.031501271369620706,0.053963402820480365,-0.012801206961426377
P62,-0.03453707219190976,0.0015860447917350996,-0.032836443938536,0.000794188633525463
P64,0.015550511724539086,-0.025118921302912742,0.01276451176688461,-0.004734100870280383
P65,-0.1288807707053872,-0.07110079595394145,-0.12417991106909282,-0.01557804591871545
