bundle,pearson arousal,pearson valence,ccc arousal,ccc valence
P16,-0.10347641107028688,-0.051891160340834866,-0.09889630313509602,-0.01653462277902461
P17,0.11329171948674857,-0.1398503171857312,0.09422873316337413,-0.09997689977884663
P19,0.021090994285487018,-0.05181841769089827,0.013415644018240764,-0.014897156062847902
P21,-0.14694055616992635,-0.01973468180493225,-0.12404298267029476,-0.004824971886274386
P23,-0.11577220478012411,-0.0724482077862976,-0.09062445695810624,-0.020732744437698968
P25,0.05840060272961216,-0.12766869192739205,0.04219837363727712,-0.02093570600380917
P26,0.01389467118435855,0.0983650548524389,0.011003097098187078,0.02118822513804049
P28,-0.058991444547366524,-0.02222662872673887,-0.0449159389259449,-0.006995835420615499
P30,0.13184696047406938,-0.016738598174666837,0.1219071806871315,-0.007891690959412143
P34,-0.12799005859231094,-0.009438497823342102,-0.08477318059112143,-0.00939934807132903
P37,0.025999738753090362,-0.003747046734305687,0.02168948060758899,-0.0010802831084116362
P39,-0.06729145068395036,-0.004185560012015681,-0.05972066204432413,-0.001387965389157604
P41,-0.06758456147234951,-0.007713916044644298,-0.028031848406030367,-0.0016349815197656335
P42,0.08792563519828833,0.02688204661882062,0.08568004670306807,0.008943312446213623
P43,-0.010274296545646367,-0.03473357121141931,-0.009729358930107318,-0.008085197547260599
P45,-0.10596331188451934,-0.021364861519607665,-0.09282772282643778,-0.005575536732201027
P46,0.010318571594891881,0.03593860246243232,0.008800281188684552,0.012126690515714696
P48,0.043746307954750915,-0.04075783055841301,0.042115672037754695,-0.015275915369695081
P56,0.005303260500238153,-0.04536573127955047,0.0037226046557002845,-0.010161669162667803
P58,0.05463372931984502,-0.03150097371932245,0.053964569825966334,-0.012800989891896134
P62,-0.034536918364643246,0.0015866182083251433,-0.032836271740501174,0.0007944686694738931
P64,0.015551549049478445,-0.025118070492784104,0.012765276417912606,-0.00473390275343097
P65,-0.1288800455222049,-0.07110142510885016,-0.12417902002828624,-0.015578068058839446
